-12.0, -0.4, 4.0, -1.6, 45.3, 30.0, 24.0
20.0, 0.4, -16.0, -0.4, 317.1, 5.0, 18.0
16.0, 1.6, -4.0, -1.6, 90.6, 5.0, 14.0
8.0, -0.8, 20.0, 0.8, 90.6, 10.0, 10.0
4.0, -0.8, -4.0, 1.2, 226.5, 30.0, 22.0
-8.0, -0.4, -12.0, 0.4, 271.8, 10.0, 18.0
12.0, 0.4, -20.0, -0.4, 90.6, 15.0, 12.0
12.0, 0.4, -8.0, 0.8, 90.6, 15.0, 20.0
-20.0, 0.4, -16.0, -2.0, 45.3, 5.0, 16.0
-12.0, -1.6, -12.0, -2.0, 45.3, 5.0, 22.0
-12.0, -1.6, -16.0, 2.0, 226.5, 5.0, 20.0
20.0, -1.2, 16.0, 2.0, 135.9, 30.0, 22.0
-4.0, 2.0, 12.0, -0.4, 181.2, 20.0, 22.0
12.0, 1.6, 16.0, 2.0, 317.1, 25.0, 14.0
-4.0, -0.4, 16.0, -1.2, 317.1, 25.0, 20.0
12.0, -0.8, 4.0, 2.0, 45.3, 15.0, 14.0
