4.0, -0.4, 16.0, 0.8, 226.5, 15.0, 14.0
-20.0, 0.8, 4.0, -1.6, 271.8, 25.0, 12.0
12.0, -1.2, -16.0, 0.4, 317.1, 10.0, 10.0
-16.0, 1.6, -8.0, 0.4, 271.8, 25.0, 14.0
-16.0, 1.2, -8.0, -1.2, 317.1, 20.0, 24.0
-8.0, -1.6, 12.0, 2.0, 135.9, 20.0, 20.0
12.0, 1.6, -12.0, -1.6, 90.6, 30.0, 12.0
16.0, -1.2, 20.0, -2.0, 271.8, 10.0, 24.0
20.0, -2.0, 8.0, 0.4, 45.3, 5.0, 14.0
-16.0, -1.2, 20.0, 0.4, 271.8, 30.0, 18.0
16.0, 0.8, -20.0, 0.4, 45.3, 15.0, 24.0
-16.0, -0.4, -16.0, 0.4, 317.1, 20.0, 24.0
20.0, -0.8, -4.0, 1.6, 45.3, 25.0, 10.0
8.0, 0.4, 12.0, -1.2, 135.9, 25.0, 22.0
-12.0, -0.8, 16.0, -0.4, 181.2, 10.0, 18.0
-8.0, -1.2, 20.0, -2.0, 90.6, 30.0, 24.0
