8.0, -1.2, 12.0, -0.8, 317.1, 25.0, 16.0
12.0, 0.8, -20.0, 0.4, 45.3, 10.0, 22.0
-20.0, -1.2, 16.0, 1.2, 271.8, 15.0, 20.0
20.0, -2.0, -20.0, 2.0, 317.1, 20.0, 16.0
-12.0, -2.0, 4.0, 0.4, 181.2, 20.0, 18.0
-16.0, 0.4, 20.0, 2.0, 45.3, 5.0, 22.0
12.0, 0.8, -16.0, 2.0, 181.2, 30.0, 10.0
16.0, -2.0, 4.0, -1.2, 271.8, 10.0, 24.0
-4.0, -1.2, 8.0, 2.0, 135.9, 25.0, 16.0
-4.0, -1.2, 20.0, -0.8, 226.5, 10.0, 20.0
-4.0, -0.4, -8.0, -1.6, 45.3, 30.0, 24.0
-12.0, 2.0, -8.0, -2.0, 317.1, 30.0, 12.0
12.0, 1.6, 8.0, 1.2, 271.8, 10.0, 18.0
-4.0, -0.4, -12.0, -1.6, 181.2, 20.0, 16.0
-4.0, -0.4, 4.0, 1.6, 271.8, 5.0, 24.0
-12.0, -1.6, -8.0, 2.0, 90.6, 5.0, 24.0
