0,47,98,5.497787144
1,52,102,2.042035225
2,49,104,3.455751919
3,46,103,4.241150082
4,46,102,4.468042885
5,48,103,3.926990817
6,53,98,0.785398163
7,52,98,0.593411946
8,48,102,4.241150082
9,53,104,2.35619449
10,47,103,4.118977035
11,46,100,4.956735076
12,53,102,1.884955592
13,54,99,1.099557429
14,49,97,6.038839212
15,48,100,5.183627878
16,52,104,2.548180708
17,51,105,2.897246558
18,53,99,0.977384381
19,52,103,2.35619449
20,49,103,3.612831552
21,48,99,5.497787144
22,52,97,0.471238898
23,53,103,2.164208272
24,51,102,2.35619449
25,47,102,4.398229715
26,52,105,2.670353756
27,52,100,1.099557429
28,46,99,5.183627878
29,49,99,5.811946409
